complaintcategory,status,complaintnumber,inspectiondate,bbl
09,ACTIVE,1455627,,1016300069
86,CLOSED,1455518,2017-07-18,1016670016
83,ACTIVE,1455697,,1016670016
05,ACTIVE,1455783,,1016300061
05,CLOSED,1455151,2017-07-20,1016300069
09,CLOSED,1455629,2017-07-20,1016300065
09,CLOSED,1455627,2017-07-20,1016300069
09,CLOSED,1455631,2017-07-20,1016300061
09,CLOSED,1455626,2017-07-20,1016300072
09,CLOSED,1455628,2017-07-20,1016300067
86,CLOSED,1455843,2017-07-21,1017080008
5H,CLOSED,1455045,2017-07-21,1016670016
30,CLOSED,1455838,2017-07-21,1016280020
09,CLOSED,1455630,2017-07-20,1016300063
05,CLOSED,1455625,2017-07-24,1016810007
05,CLOSED,1455783,2017-07-26,1016300061
59,CLOSED,1453528,2017-07-28,1018060007
05,CLOSED,3603189,2017-07-29,3033260065
86,ACTIVE,1456571,,1016380015
86,CLOSED,1456571,2017-07-31,1016380015
65,CLOSED,1456666,2017-08-01,1016670016
1Z,CLOSED,1456841,2017-08-02,1017080008
86,ACTIVE,1456864,,1017080008
05,CLOSED,1450330,2017-08-03,1017080008
86,ACTIVE,1456951,,1017080008
86,ACTIVE,1456951,2017-08-04,1017080008
86,CLOSED,1456864,2017-08-03,1017080008
09,CLOSED,1453648,2017-08-03,1017080008
05,ACTIVE,1457098,,1017080007
91,ACTIVE,1457064,,1016670016
91,CLOSED,1457064,2017-08-05,1016670016
86,CLOSED,1456951,2017-08-05,1017080008
5H,ACTIVE,1457302,,1018060007
74,ACTIVE,1457400,,1016660028
74,ACTIVE,1457355,,1016660028
1L,CLOSED,1452772,2017-08-09,1016770044
5H,CLOSED,1455046,2017-08-09,1018060007
5H,CLOSED,1457302,2017-08-09,1018060007
86,ACTIVE,1457537,,1018060007
86,ACTIVE,1457536,,1018060007
04,ACTIVE,1457620,,1018480031
05,CLOSED,1451572,2017-08-11,1017080007
5H,CLOSED,1457302,2017-08-14,1018060007
30,ACTIVE,1457699,,1016670018
86,CLOSED,1457536,2017-08-14,1018060007
05,ACTIVE,1457807,,1016660028
04,CLOSED,1457620,2017-08-15,1018480031
59,ACTIVE,1457900,,1018060007
05,ACTIVE,1458033,,1016670016
30,CLOSED,1457699,2017-08-16,1016670018
09,CLOSED,1452760,2017-08-16,1016610018
09,ACTIVE,1458232,,1016810007
04,ACTIVE,1458261,,1016610017
59,CLOSED,1457900,2017-08-21,1018060007
1Z,CLOSED,1456841,2017-08-22,1017080008
2A,ACTIVE,1458586,,1016670016
05,ACTIVE,1458645,,1016670016
05,ACTIVE,1458646,,1016670016
30,ACTIVE,1458573,2017-08-23,1016770044
86,ACTIVE,1458738,,1017080008
30,ACTIVE,1458573,2017-08-23,1016770044
