word	time	filler
"1598 LEXINGTON AVENUE"	1016290116	0
"1599 LEXINGTON AVENUE"	1016290150	0
"1604 LEXINGTON AVENUE"	1016290157	0
"1608 LEXINGTON AVENUE"	1016290158	0
"1610 LEXINGTON AVENUE"	1016290159	0
"1351 PARK AVENUE"	1016290172	0
"119 EAST 101 STREET"	1016297501	0
"1595 LEXINGTON AVENUE"	1016297502	0
"101 EAST 102 STREET"	1016300001	0
"103 EAST 102 STREET"	1016300002	1
"105 EAST 102 STREET"	1016300003	0
"109 EAST 102 STREET"	1016300005	0
"113 EAST 102 STREET"	1016300007	0
"115 EAST 102 STREET"	1016300008	0
"119 EAST 102 STREET"	1016300010	0
"123 EAST 102 STREET"	1016300012	0
"127 EAST 102 STREET"	1016300014	0
"1620 LEXINGTON AVENUE"	1016300016	0
"1625 LEXINGTON AVENUE"	1016300020	0
"1621 LEXINGTON AVENUE"	1016300021	0
"159 EAST 102 STREET"	1016300022	0
"163 EAST 102 STREET"	1016300025	0
"167 EAST 102 STREET"	1016300027	0
"171 EAST 102 STREET"	1016300029	0
"175 EAST 102 STREET"	1016300031	0
"177 EAST 102 STREET"	1016300032	0
"1848 3 AVENUE"	1016300033	0
"1852 3 AVENUE"	1016300035	0
"1862 3 AVENUE"	1016300038	0
"160 EAST 103 STREET"	1016300041	0
"150 EAST 103 STREET"	1016300052	0
"148 EAST 103 STREET"	1016300053	0
"1626 LEXINGTON AVENUE"	1016300056	0
"1630 LEXINGTON AVENUE"	1016300059	0
"140 EAST 103 STREET"	1016300060	0
"126 EAST 103 STREET"	1016300061	1
"124 EAST 103 STREET"	1016300063	1
"122 EAST 103 STREET"	1016300065	1
"118 EAST 103 STREET"	1016300067	1
"112 EAST 103 STREET"	1016300069	1
"108 EAST 103 STREET"	1016300070	0
"102 EAST 103 STREET"	1016300072	1
"169 EAST 102 STREET"	1016307501	0
"117 EAST 102 STREET"	1016307502	0
"101 EAST 103 STREET"	1016310001	0
"105 EAST 103 STREET"	1016310002	0
"131 EAST 103 STREET"	1016310011	0
"139 EAST 103 STREET"	1016310012	0
"143 EAST 103 STREET"	1016310014	0
"1634 LEXINGTON AVENUE"	1016310016	0
"1633 LEXINGTON AVENUE"	1016310022	0
"1631 LEXINGTON AVENUE"	1016310023	0
"153 EAST 103 STREET"	1016310024	0
"155 EAST 103 STREET"	1016310025	0
